Province,Subregion,Species,ModelName,ParName,ParVal,Reference
AB,ALL,POPUTRE,Kozak88,b4,0.121363,Huang
AB,ALL,POPUTRE,Kozak88,b5,0.063253,Huang
AB,ALL,POPUTRE,Kozak88,p,0.225,Huang
AB,ALL,POPUBAL,Kozak88,a0,0.861179,Huang
AB,ALL,POPUBAL,Kozak88,a1,0.951483,Huang
AB,ALL,POPUBAL,Kozak88,a2,1.000957,Huang
AB,ALL,POPUBAL,Kozak88,b1,0.752581,Huang
AB,ALL,POPUBAL,Kozak88,b2,-0.167305,Huang
AB,ALL,POPUBAL,Kozak88,b3,0.693611,Huang
AB,ALL,POPUBAL,Kozak88,b4,-0.224137,Huang
AB,ALL,POPUBAL,Kozak88,b5,0.008214,Huang
AB,ALL,POPUBAL,Kozak88,p,0.225,Huang
AB,ALL,PICEGLA,Kozak88,a0,0.860438,Huang
AB,ALL,PICEGLA,Kozak88,a1,0.995406,Huang
AB,ALL,PICEGLA,Kozak88,a2,0.998493,Huang
AB,ALL,PICEGLA,Kozak88,b1,1.040218,Huang
AB,ALL,PICEGLA,Kozak88,b2,-0.252387,Huang
AB,ALL,PICEGLA,Kozak88,b3,1.842818,Huang
AB,ALL,PICEGLA,Kozak88,b4,-0.852227,Huang
AB,ALL,PICEGLA,Kozak88,b5,0.110359,Huang
AB,ALL,PICEGLA,Kozak88,p,0.225,Huang
MB,ALL,LARILAR,Kozak88,a0,0.8894,Klos
MB,ALL,LARILAR,Kozak88,a1,1.0163,Klos
MB,ALL,LARILAR,Kozak88,a2,0.995,Klos
MB,ALL,LARILAR,Kozak88,b1,0.2866,Klos
MB,ALL,LARILAR,Kozak88,b2,-0.0853,Klos
MB,ALL,LARILAR,Kozak88,b3,0.6307,Klos
MB,ALL,LARILAR,Kozak88,b4,-0.1714,Klos
MB,ALL,LARILAR,Kozak88,b5,0.1491,Klos
MB,ALL,LARILAR,Kozak88,p,0.25,Klos
MB,ALL,BETUPAP,Kozak88,a0,0.6549,Klos
MB,ALL,BETUPAP,Kozak88,a1,1.128,Klos
MB,ALL,BETUPAP,Kozak88,a2,0.993,Klos
MB,ALL,BETUPAP,Kozak88,b1,0.9223,Klos
MB,ALL,BETUPAP,Kozak88,b2,-0.1311,Klos
MB,ALL,BETUPAP,Kozak88,b3,0.6458,Klos
MB,ALL,BETUPAP,Kozak88,b4,-0.2967,Klos
MB,ALL,BETUPAP,Kozak88,b5,0.067,Klos
MB,ALL,BETUPAP,Kozak88,p,0.25,Klos
MB,ALL,UNKNSWD,Kozak88,a0,0.8894,Klos
MB,ALL,UNKNSWD,Kozak88,a1,1.0163,Klos
MB,ALL,UNKNSWD,Kozak88,a2,0.995,Klos
MB,ALL,UNKNSWD,Kozak88,b1,0.2866,Klos
MB,ALL,UNKNSWD,Kozak88,b2,-0.0853,Klos
MB,ALL,UNKNSWD,Kozak88,b3,0.6307,Klos
MB,ALL,UNKNSWD,Kozak88,b4,-0.1714,Klos
MB,ALL,UNKNSWD,Kozak88,b5,0.1491,Klos
MB,ALL,UNKNSWD,Kozak88,p,0.25,Klos
