"Species","parameter","estimate","NaturalSubregionNum","NaturalSubregionCode","Subregion"
"PICE.MAR","b3",2.535507,"4","BSA","BSA"
"PICE.MAR","b3",2.535507,"5","PAD","PAD"
"PICE.MAR","b3",2.535507,"6","LBH","LBH"
"PICE.MAR","b3",2.535507,"12","AP","AP"
"PICE.MAR","b3",2.535507,"13","KU","KU"
"PICE.MAR","b3",2.535507,"14","FP","FP"
"PICE.MAR","b3",2.535507,"15","PRP","PRP"
"PICE.MAR","b3",2.535507,"16","CP","CP"
"PICE.MAR","b3",2.835917,NA,"Province","Province"
"PICE.MAR","b4",-1.455471,"7","ALP","ALP"
"PICE.MAR","b4",-1.455471,"8","SA","SA"
"PICE.MAR","b4",-1.455471,"9","M","M"
"PICE.MAR","b4",-1.455471,"10","UF","UF"
"PICE.MAR","b4",-1.455471,"11","LF","LF"
"PICE.MAR","b4",-1.22206,"1","CM","CM"
"PICE.MAR","b4",-1.22206,"2","DMW","DMW"
"PICE.MAR","b4",-1.22206,"3","NM","NM"
"PICE.MAR","b4",-1.22206,"4","BSA","BSA"
"PICE.MAR","b4",-1.22206,"5","PAD","PAD"
"PICE.MAR","b4",-1.22206,"6","LBH","LBH"
"PICE.MAR","b4",-1.22206,"12","AP","AP"
"PICE.MAR","b4",-1.22206,"13","KU","KU"
"PICE.MAR","b4",-1.22206,"14","FP","FP"
"PICE.MAR","b4",-1.22206,"15","PRP","PRP"
"PICE.MAR","b4",-1.22206,"16","CP","CP"
"PICE.MAR","b4",-1.39646,NA,"Province","Province"
"PICE.MAR","b5",0.154263,"7","ALP","ALP"
"PICE.MAR","b5",0.154263,"8","SA","SA"
"PICE.MAR","b5",0.154263,"9","M","M"
"PICE.MAR","b5",0.154263,"10","UF","UF"
"PICE.MAR","b5",0.154263,"11","LF","LF"
"PICE.MAR","b5",0.146243,"1","CM","CM"
"PICE.MAR","b5",0.146243,"2","DMW","DMW"
"PICE.MAR","b5",0.146243,"3","NM","NM"
"PICE.MAR","b5",0.146243,"4","BSA","BSA"
"PICE.MAR","b5",0.146243,"5","PAD","PAD"
"PICE.MAR","b5",0.146243,"6","LBH","LBH"
"PICE.MAR","b5",0.146243,"12","AP","AP"
"PICE.MAR","b5",0.146243,"13","KU","KU"
"PICE.MAR","b5",0.146243,"14","FP","FP"
"PICE.MAR","b5",0.146243,"15","PRP","PRP"
"PICE.MAR","b5",0.146243,"16","CP","CP"
"PICE.MAR","b5",0.152487,NA,"Province","Province"
"ABIE.BAL","a0",0.918647,"1","CM","CM"
"ABIE.BAL","a0",0.918647,"2","DMW","DMW"
"ABIE.BAL","a0",0.918647,"3","NM","NM"
"ABIE.BAL","a0",0.918647,"4","BSA","BSA"
"ABIE.BAL","a0",0.918647,"5","PAD","PAD"
"ABIE.BAL","a0",0.918647,"6","LBH","LBH"
"ABIE.BAL","a0",0.918647,"9","M","M"
"ABIE.BAL","a0",0.918647,"11","LF","LF"
"ABIE.BAL","a0",0.918647,"12","AP","AP"
"ABIE.BAL","a0",0.918647,"13","KU","KU"
"ABIE.BAL","a0",0.918647,"14","FP","FP"
"ABIE.BAL","a0",0.918647,"15","PRP","PRP"
"ABIE.BAL","a0",0.918647,"16","CP","CP"
"ABIE.BAL","a0",1.108006,"7","ALP","ALP"
"ABIE.BAL","a0",1.108006,"8","SA","SA"
"ABIE.BAL","a0",1.108006,"10","UF","UF"
"ABIE.BAL","a0",1.002016,NA,"Province","Province"
"ABIE.BAL","a1",0.990225,"1","CM","CM"
"ABIE.BAL","a1",0.990225,"2","DMW","DMW"
"ABIE.BAL","a1",0.990225,"3","NM","NM"
"ABIE.BAL","a1",0.990225,"4","BSA","BSA"
"ABIE.BAL","a1",0.990225,"5","PAD","PAD"
"ABIE.BAL","a1",0.990225,"6","LBH","LBH"
"ABIE.BAL","a1",0.990225,"9","M","M"
"ABIE.BAL","a1",0.990225,"11","LF","LF"
"ABIE.BAL","a1",0.990225,"12","AP","AP"
"ABIE.BAL","a1",0.990225,"13","KU","KU"
"ABIE.BAL","a1",0.990225,"14","FP","FP"
"ABIE.BAL","a1",0.990225,"15","PRP","PRP"
"ABIE.BAL","a1",0.990225,"16","CP","CP"
"ABIE.BAL","a1",0.89838,"7","ALP","ALP"
"ABIE.BAL","a1",0.89838,"8","SA","SA"
