"species","model","parameter","estimate","stderr"
"POPU.TRI","DBH","bwood1",0.046,0.0137
"POPU.TRI","DBH","bwood2",2.4312,0.1056
"POPU.TRI","DBH","bbark1",0.0074,0.0024
"POPU.TRI","DBH","bbark2",2.4442,0.1119
"POPU.TRI","DBH","bbranches1",0.0086,0.0039
"POPU.TRI","DBH","bbranches2",2.7326,0.1424
"POPU.TRI","DBH","bfoliage1",0.0114,0.0061
"POPU.TRI","DBH","bfoliage2",2.086,0.1819
"UNKN.HWD","DBH","bwood1",0.0864,0.0015
"UNKN.HWD","DBH","bwood2",2.3715,0.0053
"UNKN.HWD","DBH","bbark1",0.0226,8e-04
"UNKN.HWD","DBH","bbark2",2.2151,0.0112
"UNKN.HWD","DBH","bbranches1",0.0186,7e-04
"UNKN.HWD","DBH","bbranches2",2.4462,0.0127
"UNKN.HWD","DBH","bfoliage1",0.0385,0.001
"UNKN.HWD","DBH","bfoliage2",1.6255,0.0089
"UNKN.SWD","DBH","bwood1",0.0564,0.001
"UNKN.SWD","DBH","bwood2",2.4347,0.0059
"UNKN.SWD","DBH","bbark1",0.0153,2e-04
"UNKN.SWD","DBH","bbark2",2.211,0.0055
"UNKN.SWD","DBH","bbranches1",0.0194,6e-04
"UNKN.SWD","DBH","bbranches2",2.2408,0.0097
"UNKN.SWD","DBH","bfoliage1",0.0935,0.0025
"UNKN.SWD","DBH","bfoliage2",1.6106,0.0094
"UNKN.SPP","DBH","bwood1",0.0741,0.0012
"UNKN.SPP","DBH","bwood2",2.3875,0.0051
"UNKN.SPP","DBH","bbark1",0.0182,2e-04
"UNKN.SPP","DBH","bbark2",2.2181,0.0041
"UNKN.SPP","DBH","bbranches1",0.0227,6e-04
"UNKN.SPP","DBH","bbranches2",2.2797,0.0093
"UNKN.SPP","DBH","bfoliage1",0.0764,0.0021
"UNKN.SPP","DBH","bfoliage2",1.5861,0.0096
"ABIE.LAS","DBHHT","bwood1",0.022,NA
"ABIE.LAS","DBHHT","bwood2",1.6469,NA
"ABIE.LAS","DBHHT","bwood3",1.1714,NA
"ABIE.LAS","DBHHT","bbark1",0.0061,NA
"ABIE.LAS","DBHHT","bbark2",1.8603,NA
"ABIE.LAS","DBHHT","bbark3",0.7693,NA
"ABIE.LAS","DBHHT","bbranches1",0.0265,NA
"ABIE.LAS","DBHHT","bbranches2",3.6747,NA
"ABIE.LAS","DBHHT","bbranches3",-1.5958,NA
"ABIE.LAS","DBHHT","bfoliage1",0.0509,NA
"ABIE.LAS","DBHHT","bfoliage2",2.9909,NA
"ABIE.LAS","DBHHT","bfoliage3",-1.2271,NA
"ABIE.BAL","DBHHT","bwood1",0.0294,8e-04
"ABIE.BAL","DBHHT","bwood2",1.8357,0.0163
"ABIE.BAL","DBHHT","bwood3",0.864,0.0213
"ABIE.BAL","DBHHT","bbark1",0.0053,4e-04
"ABIE.BAL","DBHHT","bbark2",2.0876,0.0388
"ABIE.BAL","DBHHT","bbark3",0.5842,0.0506
"ABIE.BAL","DBHHT","bbranches1",0.0117,8e-04
"ABIE.BAL","DBHHT","bbranches2",3.5097,0.0667
"ABIE.BAL","DBHHT","bbranches3",-1.3006,0.0773
"ABIE.BAL","DBHHT","bfoliage1",0.1245,0.0073
